Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,47pF,C1671
C3,0603,1,10nF,C57112
"C4, C6",0603,2,100nF,C14663
C5,0603,1,4.7uF,C19666
D1,0603,1,RX,C2286
D2,0603,1,TX,C2286
"D3, D4",D_SOD-123F,2,SMF26CA,C19077516
D5,D_SOD-123F,1,SMF12CA,C19077507
FB1,0603,1,120Ω@100MHz 2A 50mΩ,C14709
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,C319148
"Q1, Q2",SOT-23,2,2N7002,C8545
"R1, R4",0603,2,27R,C25190
"R10, R11, R12, R9",0603,4,5.1k,C23186
R3,0603,1,22kR,C31850
"R6, R7, R8",0603,3,1k,C22775
U1,WDFN-12-1EP_3x3mm_P0.45mm_EP1.7x2.5mm,1,FT234XD,C132158
U2,M18_Battery_Interface,1,M18,
"U3, U4",SMDIP-4_W9.53mm,2,LTV-817S,C109227
