Designator,Mid X,Mid Y,Rotation,Layer
C1,89.3,-121.795,180.0,top
C2,95.4,-121.795,0.0,top
C3,100.5,-113.8,0.0,top
C4,97.37,-118.295,0.0,top
C5,97.37,-115.295,0.0,top
C6,97.37,-116.795,0.0,top
D1,88.98,-113.1,180.0,top
D2,110.98,-113.1,180.0,top
D3,93.596276,-90.275,0.0,top
D4,106.496276,-90.275,0.0,top
D5,100.046276,-90.275,0.0,top
FB1,97.37,-113.8,180.0,top
J1,92.68,-128.18,0.0,top
Q1,86.4625,-116.2,180.0,top
Q2,85.5,-99.0,90.0,top
R1,91.62,-121.045,90.0,top
R10,86.2,-125.44,90.0,top
R11,99.1,-125.44,90.0,top
R12,91.6,-113.9,90.0,top
R3,100.0,-102.649563,180.0,top
R4,93.12,-121.045,90.0,top
R6,107.9,-113.1,0.0,top
R7,107.075,-110.7,90.0,top
R8,89.0,-114.7,180.0,top
R9,91.5,-97.825,270.0,top
U1,92.475,-117.475,180.0,top
U2,100.0,-95.625,0.0,bottom
U3,89.0,-106.0,270.0,top
U4,111.0,-106.0,90.0,top
